"","PlantID","PlantName","State","Year","Month","GenerationMWh"
"103",437,"Edward C Hyatt","CA","2009","July",303843
"104",437,"Edward C Hyatt","CA","2009","August",134193
"105",437,"Edward C Hyatt","CA","2009","September",63711
"106",437,"Edward C Hyatt","CA","2009","October",77638
"107",437,"Edward C Hyatt","CA","2009","November",102518
"108",437,"Edward C Hyatt","CA","2009","December",79463
"109",437,"Edward C Hyatt","CA","2010","January",40721
"110",437,"Edward C Hyatt","CA","2010","February",27386
"111",437,"Edward C Hyatt","CA","2010","March",37221
"112",437,"Edward C Hyatt","CA","2010","April",14323
"113",437,"Edward C Hyatt","CA","2010","May",89393
"114",437,"Edward C Hyatt","CA","2010","June",110272
"115",437,"Edward C Hyatt","CA","2010","July",276483
"116",437,"Edward C Hyatt","CA","2010","August",278528
"117",437,"Edward C Hyatt","CA","2010","September",215600
"118",437,"Edward C Hyatt","CA","2010","October",104060
"119",437,"Edward C Hyatt","CA","2010","November",112883
"120",437,"Edward C Hyatt","CA","2010","December",70273
"121",437,"Edward C Hyatt","CA","2011","January",72665
"122",437,"Edward C Hyatt","CA","2011","February",34785
"123",437,"Edward C Hyatt","CA","2011","March",113209
"124",437,"Edward C Hyatt","CA","2011","April",247525
"125",437,"Edward C Hyatt","CA","2011","May",251418
"126",437,"Edward C Hyatt","CA","2011","June",184545
"127",437,"Edward C Hyatt","CA","2011","July",171769
"128",437,"Edward C Hyatt","CA","2011","August",117656
"129",437,"Edward C Hyatt","CA","2011","September",227202
"130",437,"Edward C Hyatt","CA","2011","October",175872
"131",437,"Edward C Hyatt","CA","2011","November",134985
"132",437,"Edward C Hyatt","CA","2011","December",190872
"133",437,"Edward C Hyatt","CA","2012","January",80760
"134",437,"Edward C Hyatt","CA","2012","February",69058
"135",437,"Edward C Hyatt","CA","2012","March",63219
"136",437,"Edward C Hyatt","CA","2012","April",41880
"137",437,"Edward C Hyatt","CA","2012","May",136079
"138",437,"Edward C Hyatt","CA","2012","June",110757
"139",437,"Edward C Hyatt","CA","2012","July",199919
"140",437,"Edward C Hyatt","CA","2012","August",222061
"141",437,"Edward C Hyatt","CA","2012","September",169309
"142",437,"Edward C Hyatt","CA","2012","October",135266
"143",437,"Edward C Hyatt","CA","2012","November",120147
"144",437,"Edward C Hyatt","CA","2012","December",86143
"145",437,"Edward C Hyatt","CA","2013","January",71924
"146",437,"Edward C Hyatt","CA","2013","February",39753
"147",437,"Edward C Hyatt","CA","2013","March",103981
"148",437,"Edward C Hyatt","CA","2013","April",101611
"149",437,"Edward C Hyatt","CA","2013","May",110526
"150",437,"Edward C Hyatt","CA","2013","June",185741
"151",437,"Edward C Hyatt","CA","2013","July",277341
"152",437,"Edward C Hyatt","CA","2013","August",236239
"153",437,"Edward C Hyatt","CA","2013","September",105967
"154",437,"Edward C Hyatt","CA","2013","October",89252
"155",437,"Edward C Hyatt","CA","2013","November",93464
"156",437,"Edward C Hyatt","CA","2013","December",73772
"157",437,"Edward C Hyatt","CA","2014","January",42360
"158",437,"Edward C Hyatt","CA","2014","February",15742
"159",437,"Edward C Hyatt","CA","2014","March",18025
"160",437,"Edward C Hyatt","CA","2014","April",26054
"161",437,"Edward C Hyatt","CA","2014","May",112826
"162",437,"Edward C Hyatt","CA","2014","June",143136
"163",437,"Edward C Hyatt","CA","2014","July",153395
"164",437,"Edward C Hyatt","CA","2014","August",91632
"165",437,"Edward C Hyatt","CA","2014","September",17114
"166",437,"Edward C Hyatt","CA","2014","October",20252
"167",437,"Edward C Hyatt","CA","2014","November",12593
"168",437,"Edward C Hyatt","CA","2014","December",-541
"169",437,"Edward C Hyatt","CA","2015","January",11223
"170",437,"Edward C Hyatt","CA","2015","February",16460
"171",437,"Edward C Hyatt","CA","2015","March",26881
"172",437,"Edward C Hyatt","CA","2015","April",41954
"173",437,"Edward C Hyatt","CA","2015","May",128868
"174",437,"Edward C Hyatt","CA","2015","June",111000
"175",437,"Edward C Hyatt","CA","2015","July",137393
"176",437,"Edward C Hyatt","CA","2015","August",56090
"177",437,"Edward C Hyatt","CA","2015","September",1405
"178",437,"Edward C Hyatt","CA","2015","October",8740
"179",437,"Edward C Hyatt","CA","2015","November",13611
"180",437,"Edward C Hyatt","CA","2015","December",18602
"181",437,"Edward C Hyatt","CA","2016","January",9129
"182",437,"Edward C Hyatt","CA","2016","February",12276
"183",437,"Edward C Hyatt","CA","2016","March",24576
