STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SHA,D,6,RES ELE,20070322 0000,20070322 0000,1047.08, ,FEET
SHA,D,6,RES ELE,20070323 0000,20070323 0000,1047.37, ,FEET
SHA,D,6,RES ELE,20070324 0000,20070324 0000,1047.69, ,FEET
SHA,D,6,RES ELE,20070325 0000,20070325 0000,1047.84, ,FEET
SHA,D,6,RES ELE,20070326 0000,20070326 0000,1047.98, ,FEET
SHA,D,6,RES ELE,20070327 0000,20070327 0000,1048.10, ,FEET
SHA,D,6,RES ELE,20070328 0000,20070328 0000,1048.06, ,FEET
SHA,D,6,RES ELE,20070329 0000,20070329 0000,1048.10, ,FEET
SHA,D,6,RES ELE,20070330 0000,20070330 0000,1048.12, ,FEET
SHA,D,6,RES ELE,20070331 0000,20070331 0000,1048.11, ,FEET
SHA,D,6,RES ELE,20070401 0000,20070401 0000,1048.08, ,FEET
SHA,D,6,RES ELE,20070402 0000,20070402 0000,1048.05, ,FEET
SHA,D,6,RES ELE,20070403 0000,20070403 0000,1048.02, ,FEET
SHA,D,6,RES ELE,20070404 0000,20070404 0000,1047.98, ,FEET
SHA,D,6,RES ELE,20070405 0000,20070405 0000,1047.85, ,FEET
SHA,D,6,RES ELE,20070406 0000,20070406 0000,1047.69, ,FEET
SHA,D,6,RES ELE,20070407 0000,20070407 0000,1047.52, ,FEET
SHA,D,6,RES ELE,20070408 0000,20070408 0000,1047.31, ,FEET
SHA,D,6,RES ELE,20070409 0000,20070409 0000,1047.26, ,FEET
SHA,D,6,RES ELE,20070410 0000,20070410 0000,1047.10, ,FEET
SHA,D,6,RES ELE,20070411 0000,20070411 0000,1046.93, ,FEET
SHA,D,6,RES ELE,20070412 0000,20070412 0000,1046.74, ,FEET
SHA,D,6,RES ELE,20070413 0000,20070413 0000,1046.58, ,FEET
SHA,D,6,RES ELE,20070414 0000,20070414 0000,1046.42, ,FEET
SHA,D,6,RES ELE,20070415 0000,20070415 0000,1046.23, ,FEET
SHA,D,6,RES ELE,20070416 0000,20070416 0000,1046.00, ,FEET
SHA,D,6,RES ELE,20070417 0000,20070417 0000,1045.82, ,FEET
SHA,D,6,RES ELE,20070418 0000,20070418 0000,1045.56, ,FEET
SHA,D,6,RES ELE,20070419 0000,20070419 0000,1045.36, ,FEET
SHA,D,6,RES ELE,20070420 0000,20070420 0000,1045.18, ,FEET
SHA,D,6,RES ELE,20070421 0000,20070421 0000,1045.15, ,FEET
SHA,D,6,RES ELE,20070422 0000,20070422 0000,1045.12, ,FEET
SHA,D,6,RES ELE,20070423 0000,20070423 0000,1044.99, ,FEET
SHA,D,6,RES ELE,20070424 0000,20070424 0000,1044.89, ,FEET
SHA,D,6,RES ELE,20070425 0000,20070425 0000,1044.79, ,FEET
SHA,D,6,RES ELE,20070426 0000,20070426 0000,1044.65, ,FEET
SHA,D,6,RES ELE,20070427 0000,20070427 0000,1044.49, ,FEET
SHA,D,6,RES ELE,20070428 0000,20070428 0000,1044.33, ,FEET
SHA,D,6,RES ELE,20070429 0000,20070429 0000,1044.26, ,FEET
SHA,D,6,RES ELE,20070430 0000,20070430 0000,1044.07, ,FEET
SHA,D,6,RES ELE,20070501 0000,20070501 0000,1043.90, ,FEET
SHA,D,6,RES ELE,20070502 0000,20070502 0000,1043.69, ,FEET
SHA,D,6,RES ELE,20070503 0000,20070503 0000,1043.26, ,FEET
SHA,D,6,RES ELE,20070504 0000,20070504 0000,1042.96, ,FEET
SHA,D,6,RES ELE,20070505 0000,20070505 0000,1042.73, ,FEET
SHA,D,6,RES ELE,20070506 0000,20070506 0000,1042.43, ,FEET
SHA,D,6,RES ELE,20070507 0000,20070507 0000,1042.15, ,FEET
SHA,D,6,RES ELE,20070508 0000,20070508 0000,1041.84, ,FEET
SHA,D,6,RES ELE,20070509 0000,20070509 0000,1041.55, ,FEET
SHA,D,6,RES ELE,20070510 0000,20070510 0000,1041.27, ,FEET
SHA,D,6,RES ELE,20070511 0000,20070511 0000,1040.95, ,FEET
SHA,D,6,RES ELE,20070512 0000,20070512 0000,1040.58, ,FEET
SHA,D,6,RES ELE,20070513 0000,20070513 0000,1040.15, ,FEET
SHA,D,6,RES ELE,20070514 0000,20070514 0000,1039.74, ,FEET
SHA,D,6,RES ELE,20070515 0000,20070515 0000,1039.21, ,FEET
SHA,D,6,RES ELE,20070516 0000,20070516 0000,1038.78, ,FEET
SHA,D,6,RES ELE,20070517 0000,20070517 0000,1038.40, ,FEET
SHA,D,6,RES ELE,20070518 0000,20070518 0000,1038.06, ,FEET
SHA,D,6,RES ELE,20070519 0000,20070519 0000,1037.71, ,FEET
SHA,D,6,RES ELE,20070520 0000,20070520 0000,1037.33, ,FEET
SHA,D,6,RES ELE,20070521 0000,20070521 0000,1036.94, ,FEET
SHA,D,6,RES ELE,20070522 0000,20070522 0000,1036.56, ,FEET
SHA,D,6,RES ELE,20070523 0000,20070523 0000,1036.17, ,FEET
SHA,D,6,RES ELE,20070524 0000,20070524 0000,1035.77, ,FEET
SHA,D,6,RES ELE,20070525 0000,20070525 0000,1035.41, ,FEET
SHA,D,6,RES ELE,20070526 0000,20070526 0000,1035.00, ,FEET
SHA,D,6,RES ELE,20070527 0000,20070527 0000,1034.52, ,FEET
SHA,D,6,RES ELE,20070528 0000,20070528 0000,1034.06, ,FEET
SHA,D,6,RES ELE,20070529 0000,20070529 0000,1033.68, ,FEET
SHA,D,6,RES ELE,20070530 0000,20070530 0000,1033.16, ,FEET
SHA,D,6,RES ELE,20070531 0000,20070531 0000,1032.66, ,FEET
SHA,D,6,RES ELE,20070601 0000,20070601 0000,1032.17, ,FEET
SHA,D,6,RES ELE,20070602 0000,20070602 0000,1031.68, ,FEET
SHA,D,6,RES ELE,20070603 0000,20070603 0000,1031.19, ,FEET
SHA,D,6,RES ELE,20070604 0000,20070604 0000,1030.66, ,FEET
SHA,D,6,RES ELE,20070605 0000,20070605 0000,1030.08, ,FEET
SHA,D,6,RES ELE,20070606 0000,20070606 0000,1029.53, ,FEET
SHA,D,6,RES ELE,20070607 0000,20070607 0000,1028.98, ,FEET
SHA,D,6,RES ELE,20070608 0000,20070608 0000,1028.47, ,FEET
SHA,D,6,RES ELE,20070609 0000,20070609 0000,1027.91, ,FEET
SHA,D,6,RES ELE,20070610 0000,20070610 0000,1027.38, ,FEET
SHA,D,6,RES ELE,20070611 0000,20070611 0000,1026.80, ,FEET
SHA,D,6,RES ELE,20070612 0000,20070612 0000,1026.27, ,FEET
SHA,D,6,RES ELE,20070613 0000,20070613 0000,1025.81, ,FEET
SHA,D,6,RES ELE,20070614 0000,20070614 0000,1025.31, ,FEET
SHA,D,6,RES ELE,20070615 0000,20070615 0000,1024.71, ,FEET
SHA,D,6,RES ELE,20070616 0000,20070616 0000,1023.98, ,FEET
SHA,D,6,RES ELE,20070617 0000,20070617 0000,1023.23, ,FEET
SHA,D,6,RES ELE,20070618 0000,20070618 0000,1022.60, ,FEET
SHA,D,6,RES ELE,20070619 0000,20070619 0000,1022.06, ,FEET
SHA,D,6,RES ELE,20070620 0000,20070620 0000,1021.51, ,FEET
SHA,D,6,RES ELE,20070621 0000,20070621 0000,1020.84, ,FEET
SHA,D,6,RES ELE,20070622 0000,20070622 0000,1020.14, ,FEET
SHA,D,6,RES ELE,20070623 0000,20070623 0000,1019.36, ,FEET
SHA,D,6,RES ELE,20070624 0000,20070624 0000,1018.61, ,FEET
SHA,D,6,RES ELE,20070625 0000,20070625 0000,1017.83, ,FEET
SHA,D,6,RES ELE,20070626 0000,20070626 0000,1017.08, ,FEET
SHA,D,6,RES ELE,20070627 0000,20070627 0000,1016.33, ,FEET
SHA,D,6,RES ELE,20070628 0000,20070628 0000,1015.55, ,FEET
SHA,D,6,RES ELE,20070629 0000,20070629 0000,1014.73, ,FEET
SHA,D,6,RES ELE,20070630 0000,20070630 0000,1013.84, ,FEET
SHA,D,6,RES ELE,20070701 0000,20070701 0000,1013.00, ,FEET
SHA,D,6,RES ELE,20070702 0000,20070702 0000,1012.16, ,FEET
SHA,D,6,RES ELE,20070703 0000,20070703 0000,1011.28, ,FEET
SHA,D,6,RES ELE,20070704 0000,20070704 0000,1010.41, ,FEET
SHA,D,6,RES ELE,20070705 0000,20070705 0000,1009.56, ,FEET
SHA,D,6,RES ELE,20070706 0000,20070706 0000,1008.71, ,FEET
SHA,D,6,RES ELE,20070707 0000,20070707 0000,1007.85, ,FEET
SHA,D,6,RES ELE,20070708 0000,20070708 0000,1006.98, ,FEET
SHA,D,6,RES ELE,20070709 0000,20070709 0000,1006.14, ,FEET
SHA,D,6,RES ELE,20070710 0000,20070710 0000,1005.24, ,FEET
SHA,D,6,RES ELE,20070711 0000,20070711 0000,1004.40, ,FEET
SHA,D,6,RES ELE,20070712 0000,20070712 0000,1003.55, ,FEET
SHA,D,6,RES ELE,20070713 0000,20070713 0000,1002.60, ,FEET
SHA,D,6,RES ELE,20070714 0000,20070714 0000,1001.72, ,FEET
SHA,D,6,RES ELE,20070715 0000,20070715 0000,1000.84, ,FEET
SHA,D,6,RES ELE,20070716 0000,20070716 0000,999.89, ,FEET
SHA,D,6,RES ELE,20070717 0000,20070717 0000,998.97, ,FEET
SHA,D,6,RES ELE,20070718 0000,20070718 0000,998.32, ,FEET
SHA,D,6,RES ELE,20070719 0000,20070719 0000,997.46, ,FEET
SHA,D,6,RES ELE,20070720 0000,20070720 0000,996.67, ,FEET
SHA,D,6,RES ELE,20070721 0000,20070721 0000,995.71, ,FEET
SHA,D,6,RES ELE,20070722 0000,20070722 0000,994.82, ,FEET
SHA,D,6,RES ELE,20070723 0000,20070723 0000,993.94, ,FEET
SHA,D,6,RES ELE,20070724 0000,20070724 0000,993.04, ,FEET
SHA,D,6,RES ELE,20070725 0000,20070725 0000,992.12, ,FEET
SHA,D,6,RES ELE,20070726 0000,20070726 0000,991.20, ,FEET
SHA,D,6,RES ELE,20070727 0000,20070727 0000,990.32, ,FEET
SHA,D,6,RES ELE,20070728 0000,20070728 0000,989.57, ,FEET
SHA,D,6,RES ELE,20070729 0000,20070729 0000,988.76, ,FEET
SHA,D,6,RES ELE,20070730 0000,20070730 0000,988.00, ,FEET
SHA,D,6,RES ELE,20070731 0000,20070731 0000,987.22, ,FEET
SHA,D,6,RES ELE,20070801 0000,20070801 0000,986.44, ,FEET
SHA,D,6,RES ELE,20070802 0000,20070802 0000,985.60, ,FEET
SHA,D,6,RES ELE,20070803 0000,20070803 0000,984.75, ,FEET
SHA,D,6,RES ELE,20070804 0000,20070804 0000,983.91, ,FEET
SHA,D,6,RES ELE,20070805 0000,20070805 0000,982.97, ,FEET
SHA,D,6,RES ELE,20070806 0000,20070806 0000,982.05, ,FEET
SHA,D,6,RES ELE,20070807 0000,20070807 0000,981.18, ,FEET
SHA,D,6,RES ELE,20070808 0000,20070808 0000,980.37, ,FEET
SHA,D,6,RES ELE,20070809 0000,20070809 0000,979.47, ,FEET
SHA,D,6,RES ELE,20070810 0000,20070810 0000,978.59, ,FEET
SHA,D,6,RES ELE,20070811 0000,20070811 0000,977.78, ,FEET
SHA,D,6,RES ELE,20070812 0000,20070812 0000,976.93, ,FEET
SHA,D,6,RES ELE,20070813 0000,20070813 0000,976.15, ,FEET
SHA,D,6,RES ELE,20070814 0000,20070814 0000,975.19, ,FEET
SHA,D,6,RES ELE,20070815 0000,20070815 0000,974.56, ,FEET
SHA,D,6,RES ELE,20070816 0000,20070816 0000,973.75, ,FEET
SHA,D,6,RES ELE,20070817 0000,20070817 0000,973.02, ,FEET
SHA,D,6,RES ELE,20070818 0000,20070818 0000,972.39, ,FEET
SHA,D,6,RES ELE,20070819 0000,20070819 0000,971.69, ,FEET
SHA,D,6,RES ELE,20070820 0000,20070820 0000,971.08, ,FEET
SHA,D,6,RES ELE,20070821 0000,20070821 0000,970.52, ,FEET
SHA,D,6,RES ELE,20070822 0000,20070822 0000,969.96, ,FEET
SHA,D,6,RES ELE,20070823 0000,20070823 0000,969.43, ,FEET
SHA,D,6,RES ELE,20070824 0000,20070824 0000,968.84, ,FEET
SHA,D,6,RES ELE,20070825 0000,20070825 0000,968.19, ,FEET
SHA,D,6,RES ELE,20070826 0000,20070826 0000,967.65, ,FEET
SHA,D,6,RES ELE,20070827 0000,20070827 0000,967.18, ,FEET
SHA,D,6,RES ELE,20070828 0000,20070828 0000,966.64, ,FEET
SHA,D,6,RES ELE,20070829 0000,20070829 0000,966.04, ,FEET
SHA,D,6,RES ELE,20070830 0000,20070830 0000,965.45, ,FEET
SHA,D,6,RES ELE,20070831 0000,20070831 0000,964.93, ,FEET
SHA,D,6,RES ELE,20070901 0000,20070901 0000,964.37, ,FEET
SHA,D,6,RES ELE,20070902 0000,20070902 0000,963.75, ,FEET
SHA,D,6,RES ELE,20070903 0000,20070903 0000,963.10, ,FEET
SHA,D,6,RES ELE,20070904 0000,20070904 0000,962.51, ,FEET
SHA,D,6,RES ELE,20070905 0000,20070905 0000,961.91, ,FEET
SHA,D,6,RES ELE,20070906 0000,20070906 0000,961.27, ,FEET
SHA,D,6,RES ELE,20070907 0000,20070907 0000,960.71, ,FEET
SHA,D,6,RES ELE,20070908 0000,20070908 0000,960.14, ,FEET
SHA,D,6,RES ELE,20070909 0000,20070909 0000,959.60, ,FEET
